,Airline Name,Overall_Rating,Review_Title,Review Date,Verified,Review,Top Review Image Url,Aircraft,Type Of Traveller,Seat Type,Route,Date Flown,Seat Comfort,Cabin Staff Service,Food & Beverages,Ground Service,Inflight Entertainment,Wifi & Connectivity,Value For Money,Recommended
25,Frontier Airlines,1,“Choose anyone but Frontier”,24th March 2025,True," It's been many, many years since I've been encouraged enough to write a bad review for anything (maybe a decade?). So for me to take the time to sit down & actually put this out there is something. This was our first/only & last time flying with Frontier. We fly 6-10 round trip flights per year & are somewhat savvy travelers. Upon checking in, the employee told us we could save $25 if we download the app & do it on our phones, vs going to the desk or using the computer. So we did. I had an option to select one bag 41-50 lbs, and one check in bag. I selected one of each (and my wife's eyes verified indeed I selected those). $75/ea, checked out & paid $150. Checked my bag & headed to the gate. While in the line to board a few people from the ticket scanner, the employee behind the desk came over & randomly asked to see our tickets. She reviewed them & said we never paid for the carry on. We both insisted we did, downstairs through the app. She pulled up our reservation & said we paid for one ""oversized' bag & no carry on & we owe an additional $100 or we can't board the flight. She was extremely dismissive, condescending & abrupt with us. We protested quite firmly, insisting we selected everything on the app, I showed her my credit card receipt & said I don't have an oversized bag. She said since she can't verify it if it's my mistake I still need to pay $100 more. We got into a back & forth, not happy to be taken advantage of like this. She said it's not her problem & if we don't pay her we can just stay in Tampa. Unbelievably disgusting attitude & customer service. They called over their supervisor to try & resolve it. I explained we used the app, I selected the carry on & we don't understand how this breakdown could even happen. I said my bag was 48 lbs which can't be overweight & he said there's the problem - we recently changed it to now anything over 40 is overweight & an additional $75, I was about to let you through until you told me that (every flight I've ever been on is 50+). When I selected it in the app none of this was clear, it did not say I was paying $75 for the bag & $75 extra for those 8 pounds (in which I would've just moved 1 thing into my carry on & dissolved that issue). We ended up paying $250 to bring 1 suitcase & 1 carry on! Our flights were $118 each so the luggage more than doubled our flight cost. This system is a total sham, I gave up & paid the $100 extra. Two employees not directly involved (as at this point there were now 5 employees here watching) came into & told us in the Jetway they felt bad & don't agree with how this system works but it's out of their hands. They came onto the plane & allowed my wife & I (who were separated) to seat together & said hopefully that makes us feel somewhat better. I did some research to discover that the employees at the terminal receive a commission (it's $3-$5 each) for every person they can find boarding to make pay extra for a carry on. A guy in front of us in the jetway told him they made him pay $100 to bring his playstation onto the plane! This whole system is fraudulent, from the unclear app to the extraneous fees. Choose anyone but Frontier, we will never fly with them again.",,,Couple Leisure,Economy Class,Tampa to Boston,March 2025,1.0,2.0,,1.0,,,1,no
26,Frontier Airlines,1,“Their policies are inhuman”,23rd March 2025,True," I had a horrible experience in the Orlando airport and was never given a boarding pass via the website, once I checked in online. I looked all over the site to find where to get my boarding pass, and found nothing. My dad looked also and found nothing. I hoped I would get it emailed to me, but didn't get that either. When I went to drop off my bags, I was told I had to pay $25/person ($50 total) to have our boarding passes printed. This is outrageous since I was not able to get it on my own. Once at the gate, after paying hundreds of dollars in up-charges for a checked bag, I was stopped at the gate and told I had to pay another $99 for my backpack that fit under my seat, because it didn't fit in the ridiculous ""under seat space"" reference frame outside the plane. It is obvious that all this company does is find ways to weasel out more money from people. I did NOT need to use the overhead compartment for my bag because it DID fit under the seat, because their reference is HALF the size of what is actually under the seat. The whole point of a ""carry on"" bag is that it takes overhead space, which mine did not. Their policies are inhuman and I will never fly Frontier again. I also found out from other passengers that this flight was giving away FREE carry-on bag allowances for many of the passengers!",,A320,Family Leisure,Economy Class,Orlando to Denver,March 2025,1.0,3.0,,1.0,,,1,no
27,Frontier Airlines,1,"""the worst airline ever""",22nd March 2025,False,"  Frontier is the worst airline ever. 6 years ago I said I would never fly with them again and ended up having no choice this past week. We flew from Slc to LAX for a cruise and then back to Slc. We paid an upgrade for the 6 of us to sit together on both flights. We had 3 adults, 1 minor, one infant, and my son with Down syndrome. 2 of us were able to sit together each way. I’ve never seen an airline work so hard to keep group of travelers from being together. They care more about the animals pictured on the tail than the people flying. The price to check a bag or have a carry-on is ridiculous. One of my checked bags was damaged on the first flight then about completely destroyed on the second. With what I paid for checked bags and seats that were supposed to be together I could’ve had 6 first class seats on Delta. It was so horrible I wish I would’ve cancelled the cruise and lost all that money and not given frontier extra money for a bunch of lies. Never again Frontier. ",,,Family Leisure,Economy Class,Los Angeles to Salt Lake City ,March 2025,1.0,1.0,1.0,1.0,1.0,1.0,1,no
28,Jeju Air,1,"""Avoid this airline at all cost"" ",28th March 2025,True,   This is hands down the worst airline I have ever come across as far as customer service is concerned. They have zero effort in helping a foreign customer. Yes. The flights are cheap but there it stops. Flight to Japan was ok but the seat I had purchased was completely inadequate. Have never sat on such a tight and uncomfortable seat. Fortunately the flight is short - only just over 2 hours. It is the situation with the return flight which is giving most concern. All week I tried to purchase extra luggage so can take my shopping back (their so called Biz ticket which allows more weight is not available it appears for any dates). The “FlyBag” fare only allows 15kg. Trying to add more turned out to be impossible. The payment is declined every time! I tried over several days. I contacted the card issuer and they said no problem at their end. It is the airline doing this. The customer service emails reply the same response constantly and not giving any real solution. Some email replies come in Korean. The chat is hopeless. They just leave the chat when you get to a certain point. So finally (after 4 days of trying) reached the 24 hour booking time limit after which you can’t add luggage. Now you will face charges at the airport which will be several times the cost of the fare! There seems complete unwillingness to offer any real customer support and one suspects it is designed so that the customer ends up having to pay the extraordinarily expensive charges. I travel to Japan once a year and Shizuoka airport was an attractive idea as it is small and thus customs etc are a breeze. But never again with this airline. I have flown low cost before but this is the first airline you feel is out to rip you off completely. Avoid this airline at all cost.,https://www.airlinequality.com/wp-content/uploads/2025/03/IMG_9471-500x500.jpeg,,Solo Leisure,Economy Class,Incheon to Shizuoka,March 2025,1.0,2.0,1.0,1.0,,,1,no
29,Porter Airlines,10,“Thank you Erin and Porter”,24th March 2025,False," I have flown Porter on other occasions and have many good experiences. I was supposed to travel with them in April 2025 but due to an accident I would not be able to, with upcoming doctor and Physio appointments. The customer service representative, Erin was phenomenal. She listened and asked questions as to address my issue with regards to my upcoming flight. I am now able to have time to heal myself and take my flight at a later date. Thank you Erin and Porter.",,,Solo Leisure,Economy Class,St. John's to Halifax,March 2025,3.0,5.0,4.0,4.0,,,5,yes
30,Qantas Airways,4,"""product is currently an insult"" ",27th March 2025,True,"   The decline in Qantas quality of the last 10 years has been staggering. My review is based on a return business class trip from Auckland to Paris on a 787 aircraft. The comments on catering apply to every  leg. No one is fooled by a green salad consisiting of a few leaves of lettuce with some olive oil dumped on top. Accompanying bread was stale. Prawns had the texture of old rope. Main courses consisted of rice or quinoa with meat on top. Dessert is basically non existent, unless you count a tub of ice cream or convenience store quality cheese. Presentation is sloppy also, on battered grey trays. And I didn't know undrinkable Australian red wines even existed - but Qantas seems to have sourced them. Seat quality, particularly for a relatively new product, is also poor. The seat isn't comfortable in any configuration but is particularly bad in bed mode - the padding is rock hard to the point where it causes pain quickly if you stay in one position for any period of time. The provided added thin ""mattress"" (which is just a blanket) provides no extra comfort. The pods are pitched so tightly togther it can be very difficult to exit and enter the seat, particularly in bed mode. The eco-themed amenity kit seemed to be nothing but a zippered bag full of brown paper. The business class product is currently an insult.",,Boeing 787,Business,Business Class,Sydney to Paris via Perth ,March 2025,2.0,3.0,1.0,3.0,4.0,1.0,1,no
31,QantasLink,8,“A very pleasant flight”,27th March 2025,False," A very pleasant flight. There was an issue with the bag drop, but I had some friendly assistance. The plane left on time and the flight attendants were helpful and friendly. The new plane was clean and comfortable. A small snack was served which was fine on such a short flight. I also appreciated the free beer!",,A220,Solo Leisure,Economy Class,Canberra to Melbourne,March 2025,4.0,4.0,4.0,4.0,,,3,yes
32,Qatar Airways,2,“still not heard from them for 5 weeks”,27th March 2025,False," My flight from Perth to Heathrow was cancelled at the last minute whilst we were in the departure lounge at midnight. The flight was on July 13th 2024 from Perth Western Australia, due to land at Heathrow Airport London on Sunday afternoon 14th July. Eventually I arrived at Heathrow on Tuesday 16th July at 06:00. I was told that all additional expenses would be refunded. Well, seven months later I am still trying to get a refund. They eventually offered me $250.00 voucher that could only be used with Qatar Airways valid for one year. I declined this offer as the two-night accommodation with meals in Perth city center and vouchers for taxis that I declined as my son was prepared to drive an hour to pick me up at 02:00 in the morning would have cost far more than the voucher they were offering. I was £108.00 out of pocket for my pre-purchased train tickets booked for Sunday 14th and I lost two days of work. Whilst waiting for information on when my newly arranged flight would be leaving, they could not even be bothered to contact me. After an abortive trip to the airport after we found online my boarding pass which had been changed telling me my flight was now at 03:30 Monday morning and a call to Qatar Airlines who told me they did not know, arrived at airport to find out that there was no flight. Their response was oh your contact details is a UK mobile number! As if that made any difference in these circumstances. Eventually after giving the Qatar helpdesk my sons contact details; they informed me they had found a flight from Perth to Doha then to Athens and then finally Heathrow. Then another which was Perth to Doha to Milan to Heathrow. On arrival they told me they had a flight from Perth to Doha and then onto Heathrow. This had a six-hour stopover in Doha. Eventually I arrived home after a nightmare journey at 06:00 on Tuesday morning during rush hour in London. Just the two days late. Despite constant contact with Qatar customer services they just kept telling me that this was their policy and that was the end of the issue. When you do get through you spend another hour telling them that they have all the details. But no, they want to go through it all again. I still have not heard from them for five weeks.",,Boeing 777 ,Solo Leisure,Economy Class,Perth to London Heathrow via Doha,July 2024,1.0,2.0,2.0,3.0,3.0,,3,no
33,Royal Air Maroc,9,“A great experience with RAM”,26th March 2025,True," Well. This was my 1st time with RAM. They are more expensive than other airlines because they are protected by their Government. Although carry on bags are checked by scanners before passport control, they're checked again by the staff at the departure gate. It was a bit of a faff, but the queue at the gate moved reasonably quickly. The staff there were polite and good humoured. It must be tedious doing the same thing over and over again. Got a transfer bus to the plane and fairly quick boarding. Again friendly and polite staff on the plane. Was given a towelette to freshen up. I'd booked seat 8c at the front of the economy, and there was no-one in 8a or 8b, so I had room to spread out. The plane seemed very clean. Take off was pretty much on time. There were clear instructions from the crew on safety procedures, flight direction and flight time. After about 30 minutes, TV screens were lowered from the ceiling, and these showed a live map with location, speed and eta. I wish other airlines would follow this. About 45 minutes into the flight, cabin crew came round with juice/water, followed quickly with a hot meal (chicken or fish with potatoes, carrots and peas and a spicy sauce, a roll with cream cheese and a pastry. It wasn't gourmet dining but it was adequate and tasty. I've had a lot worse! The cabin crew then came round with tea or coffee, followed by the duty free cart. I'd already bought my allowance of cigarettes at Casa airport, but I was annoyed when I found out that prices on the plane were about 15% lower!!! All of this helped to pass the time, and now over north west France with just over an hour to landing, I read my book for a while and relaxed. We landed at Manchester 15 minutes EARLY. A great experience with RAM.",https://www.airlinequality.com/wp-content/uploads/2025/03/20250323_133040-500x500.jpg,,Solo Leisure,Economy Class,Casablanca to Manchester,March 2025,5.0,5.0,4.0,4.0,3.0,,4,yes
34,Rwandair,4,“flight staff are friendly”,26th March 2025,False," As far as the airline itself, the flight staff are friendly, the food is good and we had a really good experience.. one downside is that our entertainment system was not working on our first flight from Paris.. and once in Rwanda, the airport staff are rude and unfriendly.. also for smokers, be aware there is only ONE smoking area and you have to pay $10 per person to enter.",,,Couple Leisure,Economy Class,OR Tambo Intl to Paris CDG via Rwanda,March 2025,5.0,5.0,5.0,1.0,1.0,1.0,5,yes
35,Scoot,1,“pretty atrocious service standards”,23rd March 2025,True," Booked flight TR608 for 15 March 2025, flying from Singapore to Bangkok. Indicated plane type in original booking was A320. Paid extra for Exit Row seats 12D and 12E. Only realised when I entered the plane, that the plane type had been changed from an A320 to B787. Due to the change in plane type, my seats which were still 12D and 12E as indicated on the Boarding Passes, were now no longer Exit Row seat for which I had paid extra, but standard seats. This was due to the differing seat configuration between the 2 type of planes. There was no prior notification of the change in plane type, exit row seats no longer being available on the new plane or how the additional paid amount for the Exit Row seats would be refunded, either via email or even during check-in which was done personally at check-in counter attended by a service staff. I will now have to take my own initiative to contact Scoot to apply for a refund. If i don't, i will not get any refund. This is pretty atrocious service standards. It does not cost very much more to have a better passenger management system which will automatically alert the customers of the changes and offer a refund automatically.",,Boeing 787,Couple Leisure,Economy Class,Singapore to Bangkok ,March 2025,3.0,3.0,,3.0,,,2,no
36,Spirit Airlines,1,"""We never got the refund""",25th March 2025,True,"   My pregnant wife, me and my 20 month old daughter try to fly from Orlando to Bogota. We arrived at the Airport on time and went to the self check in counter. There we could not check in because of my daughter. So we got redirected to the counter where we waited in line. We were second in line before they stopped the line to check in people for different flights with a last call (Costa Rica). We still had enough time so we waited. Once we got to the counter, they told us it is too late and we won't be able to fly. According to the Supervisor we did not reacted to the last call for Bogota, which never was announced. My parents in law stood with us in line and also never heard a last call for Bogota. We told them we heard Costa Rica but never Bogota. Their answer was that if we heard Costa Rica, the call for Bogota was much earlier. Weird because we heard Costa Rica and still had 50min until boarding. Spirit policy is that they make the last call 40 min prior to boarding. So they must have made their last call way to early and not at the correct time. They rebooked us for a flight the next day. But we wanted to fly out that day because we already drove 2 hours to the airport and have people waiting for us in Bogota. So we asked if we can get a full refund if we look for other airlines to fly out that day. The supervisor confirmed the refund. So we booked a different airline and canceled the rebooked flight for Spirit for the next day. They never wanted to give me a printed confirmation of that cancelation. They said I have to trust their word. We never got the refund and they say we were a No Show. ",,,Family Leisure,Economy Class,Orlando to Bogota,January 2025,2.0,,,1.0,,,1,no
37,SriLankan Airlines,1,“Terrible customer service”,27th March 2025,True," Terrible customer service, they told me that the counter closes 60 minutes before the flight. When I arrived at the check-in, the counter was closed and I was denied check-in. I tried to contact staff but to no avail. I raised a complaint but they insist that the counter was open, while their team in DXB is saying it closes 80 minutes before. Their team in DXB is not willing to give written confirmation of that, so I am stuck in a limbo of lack of responsibility by Sri Lankan airlines. Also, they are not refunding anything. I believe this tells a lot about the quality of the airline, if they cannot even be honest when making a mistake. I informed their management but they are not interested. I worked in the management of an airline, so I am really worried about this behavior. I will avoid this airline now and fly Emirates instead.",,,Solo Leisure,Economy Class,Dubai to Colombo,February 2025,1.0,1.0,,1.0,,,1,no
38,Sun Country Airlines,1,"""response was sorry for the delay""",26th March 2025,True,"   My flight was supposed to depart Tampa at 3:48pm. I was told to be at the airport 3 hours early. Around 3 pm I started receiving messages from sun country delaying our flight. The flight didn't leave Tampa until 8pm. Their policy states 3 hrs domestic delays and 6 hr international delays. Their customer support argues it's 6 hr delays, only response was sorry for the delay and have a good day.",,,Solo Leisure,Economy Class,Tampa to Minneapolis,March 2025,1.0,3.0,,4.0,,1.0,2,no
39,Super Air Jet,1,“very bad ticketing management”,28th March 2025,False," Have a very bad ticketing management. Super Air Jet always pushes the ticket sales beyond its limit, and on the day of flight, we were being cancelled without prior announcement. The schedule was rescheduled three times, with total delay time of 4 hours.",,A320,Family Leisure,Economy Class,Jakarta to Denpasar,March 2025,1.0,1.0,1.0,1.0,1.0,1.0,1,no
40,TAP Portugal,1,"""They should be ashamed""",24th March 2025,True,"   They should be ashamed of the practices the airline is employing to avoid paying compensation, at the expense of their customers. The staff say is a 'delay"" rather than 'rescheduling"" when they know they will fly 6-7 hours later. We were flying with a 5 year old child and the call centre firmly told us to be at the airport 3 hours before scheduled time, or otherwise we will be considered late - because the flight is ""late"" rather than ""rescheduled"". They knew you will not fly at 5AM, but at 12PM, having ""delayed"" the flight a week in advance. A disgrace of the company. ",https://www.airlinequality.com/wp-content/uploads/2025/03/image-2-500x240.png,,Family Leisure,First Class,Lyon to Lisbon,March 2025,1.0,1.0,,1.0,,,1,no
41,Thai AirAsia,8,"""Perfect and uneventful"" ",28th March 2025,True,"   Perfect and uneventful flight, left in time, boarding in BKK was done professionally and efficient. Staff were polite and helpful. Enough space in overhead lockers.",,,Solo Leisure,Economy Class,Bangkok to Udon Thani,March 2025,3.0,4.0,,4.0,,,4,yes
42,Thai AirAsia,1,"""told we only accept cash""",24th March 2025,True,   This was my first and last flight with this airline. I understand that a low cost airline will not provide much if anything in terms of services such as food on a flight. However about 5 hours I asked for some water and I was told that it is 40 baht which I offered to pay for with a credit card. I was told we only accept cash and give that I had none she turned around with the bottle of water and walked away. ,,,Business,Economy Class,Jaipur to Bangkok,March 2025,1.0,1.0,1.0,2.0,,,3,no
43,Turkish Airlines,1,"""Keeping the cabin in total darkness""",24th March 2025,True,"   I paid €68 to select two window seats on a daytime Turkish Airlines flight from Istanbul to Taipei, expecting to enjoy the view. However, on Turkish Airlines' new aircraft, the windows no longer have manual blinds—instead, they use an electronic dimming system that can be centrally controlled by the crew. On both the outbound and return flights (Istanbul–Taipei–Istanbul), the crew kept the windows fully dimmed the entire flight, despite multiple requests to adjust them even slightly. Their response? “Company policy.” One of the most frustrating parts was flying over China, where the high mountains were covered in snow—an absolutely spectacular view. But the only way to see it was through the bottom camera on the entertainment system, which is available from any seat. This is no substitute for a real view through an actual window. If this is their policy, why do they charge extra for window seats? This is misleading and unfair. Keeping the cabin in total darkness for daytime flights forces passengers into an unnatural sleep cycle. Many people, including myself, arrived at our destinations in the evening, unable to sleep at night and severely jetlagged. It makes you wonder—is this about passenger comfort, or just making the crew’s job easier by keeping people asleep? I reached out to customer service, expecting an explanation or resolution, but all I received were generic, copy-paste responses that ignored my concerns. Their final message made it clear that they would not take my complaint further, essentially telling me to give up and stop writing. It’s obvious that Turkish Airlines does not care about passenger experience. ",https://www.airlinequality.com/wp-content/uploads/2025/03/PXL_20250309_092953058.MP_-1-500x500.jpg,Boeing 787-9 ,Couple Leisure,Economy Class,Berlin to Taipei via Istanbul,March 2025,1.0,1.0,5.0,5.0,5.0,,1,no
44,United Airlines,1,"""never fly United again"" ",25th March 2025,True,"   They downgraded me out of first class while simultaneously upgrading other passengers to my seat and separated me from my spouse and never provided explanation. The voucher they gave me was worth significantly less than the difference in fare. We also waited 90 minutes for our bags before clearing customs, which added even more stress to our international flight home. In addition, no one would even try to help us figure out why this happened. I will never fly United again.",,,Couple Leisure,Economy Class,San Francisco to Raleigh Durham ,January 2025,1.0,1.0,1.0,1.0,2.0,1.0,1,no
45,Virgin Australia,7,"""overall it was a good flight""",27th March 2025,True,"   Despite a delay of about 30 minutes , overall it was a good flight. Check in was easy, the flight attendants were friendly and efficient and the plane was clean and comfortable. The only free beverage was water, which was no issue on such a short flight .",,Boeing 737-800,Solo Leisure,Economy Class,Melbourne to Canberra,March 2025,3.0,4.0,3.0,4.0,,,3,yes
46,VivaAerobús,1,"""I do not recommend this airline""",24th March 2025,True,"   I wanted to travel with my family and service dog from Puerto Vallarta to Mexico City then to bacalar, we drive 30 minutes to the PV airport to verify with the manager at viva what paper work we needed to fly with viva. She gave us the information, we went to the veterinary and got all paper work. We moved forward to buy our tickets and we left PV with no problems, we left Mexico City with no problems, we landed in bacalar which we don’t recommend because the locals are horrible and not friendly. When we arrived to the airport in bacalar after our trip, the viva gate agent said we didn’t have the proper paper work. We explained how can this be when we left puerto Vallarta and Mexico with viva and we had NO problems. She wouldn’t let us back on the flight.  No customer service at all. Absolutely horrific! I do not recommend this airline.",,,Family Leisure,Economy Class,Bacalar to Mexico City,March 2025,2.0,1.0,1.0,1.0,1.0,1.0,1,no
47,Volotea,10,"""The service is up to par""",24th March 2025,True,"   A very decent company. The service is up to par for a very reasonable price. No delays on this Lille Barcelona Lille line, which I used several times this year. Une compagnie très correcte. Le service est à la hauteur pour un prix très raisonnable . Pas de retard pour ce qui est de cette ligne lille Barcelone lille utilisée plusieurs fois cette année",,,Couple Leisure,Economy Class,Barcelone to Lille,March 2025,4.0,5.0,,5.0,3.0,2.0,5,yes
48,Volotea,10,“a fantastic airline”,22nd March 2025,False," Es una aerolínea fantástica, el personal es muy amable, el precio muy asequible. Me gustaría que hubiera vuelos a más lugares. A Gran Canaria solamente hay dos vuelos a la semana desde mi lugar de residencia, estaría mejor que hubiera mas. - It's a fantastic airline, the staff is very friendly, and the prices are very affordable. I wish there were flights to more places. There are only two flights a week to Gran Canaria from where I live; more would be better.",,,Solo Leisure,Economy Class,Bilbao to Gran Canaria,March 2025,5.0,5.0,5.0,5.0,5.0,4.0,5,yes
49,Volotea,10,“Always a pleasure”,22nd March 2025,True," Always a pleasure to travel with Volotea. Clear and detailed information on baggage management. Punctuality and kindness of both ground and flight staff. The courtesy of the staff, the comfort on board, make the trip relaxing. ""Low cost"" travel but without the usual hassles you find with other companies.",,A319,Family Leisure,Economy Class,Verona to Palermo,March 2025,4.0,5.0,,5.0,5.0,5.0,5,yes
50,Vueling Airlines,4,"""cabin bag sizes are so small""",26th March 2025,True,"   The prices for tickets are low, but the cabin bag sizes are so small that anything bigger than a purse doesn't fit. I had to pay 60 euros for 20cm extra.",,,Solo Leisure,Economy Class,Barcelona to Naples,March 2025,4.0,4.0,,2.0,,,2,no
51,Wizz Air,1,"""No explanations, no reasons""",23rd March 2025,False,"  Having bought the ticket Abu Dhabi-Muscat several weeks in advance, very few days before departing I received an e-mail about the flight cancellation. No explanations, no reasons, just a notice. I had to combine that flight with another from Muscat to Buenos Aires, so I had a very hard time searching for a new flight the same day and similar time. Fortunately, I found one with Etihad (paying four times the original Wizz ticket). Many people told me about Wizz policy: they sell very cheap tickets to make a cancellation. The company refunded me the original price after a couple of weeks, but the inconvenience and bad time is not compensated with money.",,,Solo Leisure,Economy Class,Abu Dhabi to Muscat,October 2024,,,,,,,1,no
